,Name,Birth Date,Missions,Space Flight (hr),Space Walks (hr),Mission 1,Mission 2,Mission 3,Mission 4,Mission 5
334,Shannon Walker,6/4/1965,ISS-24/25,3919,0.0,ISS-24/25,,,,
335,Carl E. Walz,9/6/1955,STS-51,5533,19.0,STS-51,,,,
336,Taylor G. Wang,6/16/1940,STS51-B,168,0.0,STS51-B,,,,
337,Mary E. Weber,8/24/1962,STS-70,450,0.0,STS-70,,,,
338,Paul J. Weitz,6/25/1932,"Skylab2,STS-6",793,2.0,Skylab2,STS-6,,,
339,James D. Wetherbee,11/27/1952,STS-32,1594,0.0,STS-32,,,,
340,Douglas H. Wheelock,5/5/1960,STS-120,4281,43.0,STS-120,,,,
341,Edward H. White II ,11/14/1930,"Gemini4,Apollo1",97,0.5,Gemini4,Apollo1,,,
342,Peggy A. Whitson,2/9/1960,STS-111/113,11698,46.0,STS-111/113,,,,
343,Terrence W. Wilcutt,10/31/1949,STS-68,1008,0.0,STS-68,,,,
344,Clifton C. Williams Jr. ,9/26/1932,,0,0.0,,,,,
345,Donald E. Williams,2/13/1958,STS51-D,287,0.0,STS51-D,,,,
346,Jeffrey N. Williams,1/18/1958,STS-101,12818,32.0,STS-101,,,,
347,Sunita L. Williams,9/19/1965,STS-116/117,7721,50.0,STS-116/117,,,,
348,Barry E. Wilmore,12/29/1962,STS-129,4272,25.0,STS-129,,,,
349,Stephanie D. Wilson,9/27/1966,STS-121,1031,0.0,STS-121,,,,
350,G. Reid Wiseman,11/11/1975,ISS-40/41,3968,13.0,ISS-40/41,,,,
351,Peter J. K. Wisoff,8/16/1958,STS-57,1064,20.0,STS-57,,,,
352,David A. Wolf,8/23/1956,STS-58,4044,41.0,STS-58,,,,
353,Neil W. Woodward III ,7/26/1962,,0,0.0,,,,,
354,Alfred M. Worden,2/7/1932,Apollo15,295,0.5,Apollo15,,,,
355,John W. Young,9/24/1930,"Gemini3,Gemini10,Apollo10,Apollo16,STS-1",835,20.0,Gemini3,Gemini10,Apollo10,Apollo16,STS-1
356,George D. Zamka,6/29/1962,STS-120,692,0.0,STS-120,,,,
